Vertex_ID	X	Y	Neighbours_IDs
1	435062.0	586898.5	2 13 17
2	435108.5	586869.5	1 91
3	435124.5	586388.5	4 22 106 78
4	435055.0	586283.0	3
5	435188.5	586909.0	6 66 98
6	435168.0	586868.0	5 76 39
7	434892.5	586639.5	8 69 95
8	434878.0	586648.0	7 61 86
9	434752.5	586507.0	10 16 20
10	434913.5	586403.0	9 14
11	434867.5	586726.5	12 119
12	434882.5	586750.5	11 35 51 65
13	434999.5	586938.0	1 41 98
14	434948.5	586458.5	10 15 23
15	434883.5	586499.5	14
16	434806.5	586590.5	9 46 47
17	435021.0	586834.5	18 1 41
18	435104.0	586784.0	17 91 39
19	434619.0	586460.5	20 46 54
20	434693.0	586414.5	19 21 9
21	434888.5	586291.5	22 20
22	435005.5	586463.5	21 23 48 3
23	434967.0	586488.0	14 22 47
24	435163.0	586712.0	25 30 40
25	435295.5	586623.5	24
26	434792.5	586807.5	27 65 82
27	434841.5	586884.5	26 36 80
28	434579.0	587048.0	29 90 99 60
29	434551.0	587089.0	28
30	435115.5	586637.5	24 71 44
31	434991.5	586780.5	32 49 94
32	435082.0	586724.0	31 79 50
33	435215.0	586771.0	34 40 97
34	435225.0	586691.5	33
35	434927.0	586821.0	36 12 41 94
36	434870.5	586866.0	35 27 65
37	434456.5	586729.5	38
38	434498.0	586794.0	37
39	435177.5	586786.5	40 91 6 18
40	435201.0	586757.5	39 33 24
41	434959.5	586873.0	35 13 17
42	434866.0	587113.0	43 53 85
43	434911.5	587084.0	42 80 114
44	435153.0	586613.5	45 57 30
45	435198.5	586556.0	44 57 75
46	434731.5	586638.5	19 16 56
47	434884.5	586540.5	23 16
48	435072.0	586569.0	22 72 121
49	434947.0	586710.0	50 31 51
50	435036.5	586652.5	49 32 79
51	434912.0	586732.0	12 94 49
52	434755.5	587126.5	53 100
53	434780.5	587167.5	52 42 102 93
54	434609.5	586466.5	19 62 81
55	434718.0	586688.5	56 61 86
56	434699.5	586658.5	55 58 46
57	435166.0	586633.5	45 44
58	434574.5	586739.5	56 126
59	434341.5	586863.0	60
60	434601.0	587021.0	59 28 125
61	434748.0	586736.5	8 55 89
62	434418.0	586213.0	54
63	435311.5	586779.5	64 68 129
64	435356.0	586724.0	63 87 88
65	434821.5	586789.0	26 12 36
66	435234.0	586871.5	5 77 115
67	435336.5	586792.5	68 101
68	435331.5	586785.5	67 63 77
69	435013.0	586564.0	70 7 95
70	435032.0	586594.0	69 120
71	435085.0	586589.5	72 30 121
72	435147.0	586551.5	71 75 48
73	434381.5	586611.0	74 81
74	434448.0	586716.5	73
75	435181.5	586530.0	72 45
76	435188.5	586815.0	6
77	435234.0	586880.5	66 101 68
78	435179.0	586465.5	78 78 3
79	435060.0	586638.0	32 50 105
80	434949.5	587059.0	43 27 104
81	434494.5	586539.0	54 73
82	434777.5	586784.0	26 118
83	434756.0	587206.5	84 111
84	434806.5	587288.5	83 103
85	434692.0	586837.0	42 127
86	434852.0	586604.5	8 55 95
87	435312.5	586688.5	64
88	435536.0	586511.0	64
89	434764.0	586762.5	61 118
90	434623.0	587089.5	28
91	435147.5	586820.0	2 39 18
92	434726.5	587248.5	93 96
93	434745.0	587190.0	92 111 113 53
94	434956.5	586802.5	51 31 35
95	434865.5	586595.5	69 86 7
96	434739.0	587259.0	92
97	435235.5	586788.5	33 131
98	435041.0	587002.0	5 13 104
99	434368.5	587043.0	28
100	434604.5	586891.5	52 124
101	435329.0	586828.0	77 67
102	434791.0	587203.5	53
103	434827.5	587324.0	84
104	435022.0	587013.5	80 98 117
105	435045.0	586614.5	79 120
106	435260.5	586303.0	3
107	434503.5	586803.0	108
108	434559.5	586891.0	107 130
109	434572.5	586912.5	110 130
110	434625.5	586997.5	109 125
111	434747.5	587193.0	93 83
112	434631.5	587007.5	113 125
113	434742.0	587184.5	112 93
114	434965.0	587164.5	43 117
115	435264.0	586832.5	116 66
116	435271.0	586821.5	115 129 131
117	435058.5	587081.0	114 104
118	434770.0	586772.5	119 89 82 127
119	434860.5	586716.0	118 120 122 11
120	435038.5	586604.5	70 121 105 119
121	435078.5	586579.5	120 71 48
122	434854.0	586705.5	119
123	434594.5	586869.0	124
124	434598.5	586880.5	123 130 127 100
125	434629.0	587003.5	60 110 112
126	434500.0	586798.0	58 132
127	434685.0	586826.0	85 128 124 118
128	434679.0	586816.5	127
129	435280.5	586812.5	63 116
130	434565.5	586901.0	124 109 108
131	435262.0	586812.5	97 116
132	434430.5	586823.0	126
